"glm_model","deviance","df","p_value"
"",0,0,0
"glm2",4.08254779656511,1,0.043328279625808
"glm3",20.9304502442404,2,0.0000285108705068238
"glm4",29.0976270541378,5,0.0000221870877496637
"glm5",138.399603954602,5,0.000000000000000000000000000391569067355369
"glm6",172.580569664021,17,0.000000000000000000000000000863186168877396
